Human Timestamp,Unix Time,Microseconds,System Failure,Accelerometer Failure,Gyroscope Failure,Magnetometer Failure,Pressure Failure,GNSS Failure,Accelerometer Overrange,Gyroscope Overrange,Magnetometer Overrange,Pressure Overrange,Minimum Temperature,Maximum Temperature,Low Voltage,High Voltage,GNSS Antenna Disconnected,Data Overflow,Orientation Ready,Navigation Ready,Heading Ready,Time Ready,GNSS Fix Type,Event 1 Flag,Event 2 Flag,Internal GNSS Enabled,Magnetic Heading Enabled,Velocity Heading Enabled,Atmospheric Altitude Enabled,External Position Active,External Velocity Active,External Heading Active,Latitude (degrees),Longitude (degrees),Height (m),Velocity North (m/s),Velocity East (m/s),Velocity Down (m/s),Acceleration X (m/s/s),Acceleration Y (m/s/s),Acceleration Z (m/s/s),G Force (g),Roll (degrees),Pitch (degrees),Heading (degrees),Angular Velocity X (degrees/s),Angular Velocity Y (degrees/s),Angular Velocity Z (degrees/s),Latitude Error (m),Longitude Error (m),Height Error (m)
Wed Jan 01 01:04:26 CET 2020,1577837066,50790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.054463447807127,1.7303296161527375,305.8179716795044,8.159091417279923,0.9528346877509476,-0.09984407525582643,0.0,0.0,50.0
Wed Jan 01 01:04:26 CET 2020,1577837066,150790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.472344335120763,1.352011357523012,305.89502349887726,-5.8234211077366504,-3.953336562464577,-0.8546948110976562,0.0,0.0,50.0
Wed Jan 01 01:04:26 CET 2020,1577837066,250790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.706550810914047,0.943385121034235,306.0144868466644,-7.626762258695211,-4.154566685099603,-0.42915057548971147,0.0,0.0,50.0
Wed Jan 01 01:04:26 CET 2020,1577837066,350790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.651750230037274,0.798503983160823,305.93663847545236,-0.5743005951434496,-1.5316315205340258,-0.5600306224200005,0.0,0.0,50.0
Wed Jan 01 01:04:26 CET 2020,1577837066,450865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.388188711728601,1.040204646229972,306.11415296703325,-2.6477862766237332,2.3501325520918583,-0.8643477656696538,0.0,0.0,50.0
Wed Jan 01 01:04:26 CET 2020,1577837066,550790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.166560305028323,1.3102468756961259,306.270840542233,-2.2480735887838046,2.640817662286542,-1.1121371629289152,0.0,0.0,50.0
Wed Jan 01 01:04:26 CET 2020,1577837066,650790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.118613591310686,1.4878287584768262,306.5441355354548,-0.4923083102164439,1.8640758001862408,0.1826807138598534,0.0,0.0,50.0
Wed Jan 01 01:04:26 CET 2020,1577837066,750790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.132708673245887,1.5288523924517383,306.7559211842152,0.08124061312247192,0.7201177724971164,2.0298660443838314,0.0,0.0,50.0
Wed Jan 01 01:04:26 CET 2020,1577837066,850790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6202174196505235,1.759623386811033,307.24111839475927,-5.2074272924066545,2.6740642910904957,2.240399188232378,0.0,0.0,50.0
Wed Jan 01 01:04:26 CET 2020,1577837066,950790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8983700434101225,2.021104581280502,307.60679397323526,2.6855086524998057,2.813131799615365,1.0293073829731798,0.0,0.0,50.0
